Index,Molecule,Functional,Multiplicity,Precision,OrbitalThreshold,EnergyThreshold,MRChemVersion,Ncores,Walltime,SCFCycles,Energy,Completed
25,N2O3,b3lyp-g,1.0,1e-06,9.999999999999999e-06,1e-06,1.0.1,200.0,5464.37280723,24.0,-335.1502309608211,True
26,NOF3,b3lyp-g,1.0,1e-06,9.999999999999999e-06,1e-06,1.0.1,200.0,5691.48209217,25.0,-429.48389434745627,True
31,CH4,b3lyp-g,1.0,1e-06,9.999999999999999e-06,1e-06,1.0.1,200.0,1074.116835732,11.0,-40.542873908895686,True
32,C2H2,b3lyp-g,1.0,1e-06,9.999999999999999e-06,1e-06,1.0.1,100.0,731.298733798,11.0,-77.3716735056105,True
33,C2H4,b3lyp-g,1.0,1e-06,9.999999999999999e-06,1e-06,1.0.1,100.0,730.862103883,13.0,-78.6315601409188,True
35,CF2,b3lyp-g,1.0,1e-06,9.999999999999999e-06,1e-06,1.0.1,100.0,1806.652712409,17.0,-237.8223660664558,True
37,CF4,b3lyp-g,1.0,1e-06,9.999999999999999e-06,1e-06,1.0.1,200.0,3473.463320121,15.0,-437.7140445910649,True
38,CO,b3lyp-g,1.0,1e-06,9.999999999999999e-06,1e-06,1.0.1,100.0,546.03744259,14.0,-113.37015603146952,True
39,CO2,b3lyp-g,1.0,1e-06,9.999999999999999e-06,1e-06,1.0.1,100.0,1830.172616278,15.0,-188.6822694532769,True
40,C3O,b3lyp-g,1.0,1e-06,9.999999999999999e-06,1e-06,1.0.1,200.0,1855.968889288,20.0,-189.48528183562541,True
42,HCN,b3lyp-g,1.0,1e-06,9.999999999999999e-06,1e-06,1.0.1,100.0,1528.454179014,16.0,-93.47109190756794,True
43,HNC,b3lyp-g,1.0,1e-06,9.999999999999999e-06,1e-06,1.0.1,200.0,1343.317301185,15.0,-93.44893713260278,True
44,CH3F,b3lyp-g,1.0,1e-06,9.999999999999999e-06,1e-06,1.0.1,100.0,885.560004352,15.0,-139.81833910189584,True
45,CH2F2,b3lyp-g,1.0,1e-06,9.999999999999999e-06,1e-06,1.0.1,200.0,1633.542237291,16.0,-239.11276423796264,True
46,CHF3,b3lyp-g,1.0,1e-06,9.999999999999999e-06,1e-06,1.0.1,200.0,20083.983981279,16.0,-338.41518329959695,True
47,COF2,b3lyp-g,1.0,1e-06,9.999999999999999e-06,1e-06,1.0.1,200.0,3849.081451734,30.0,-312.67228223860275,True
49,BH,b3lyp-g,1.0,1e-06,9.999999999999999e-06,1e-06,1.0.1,200.0,253.396229765,10.0,-25.3018451968399,True
51,BH3,b3lyp-g,1.0,1e-06,9.999999999999999e-06,1e-06,1.0.1,200.0,351.256598093,11.0,-26.62744077685258,True
53,B2H4,b3lyp-g,1.0,1e-06,9.999999999999999e-06,1e-06,1.0.1,200.0,1113.490498603,13.0,-52.06748165718106,True
54,BF,b3lyp-g,1.0,1e-06,9.999999999999999e-06,1e-06,1.0.1,200.0,645.842504025,13.0,-124.72964517624531,True
56,BF3,b3lyp-g,1.0,1e-06,9.999999999999999e-06,1e-06,1.0.1,200.0,1807.77728561,14.0,-324.73572322934046,True
57,B2F4,b3lyp-g,1.0,1e-06,9.999999999999999e-06,1e-06,1.0.1,200.0,4187.308535658,14.0,-449.54108851517924,True
58,B2O2,b3lyp-g,1.0,1e-06,9.999999999999999e-06,1e-06,1.0.1,200.0,1858.726501153,16.0,-200.3404920616121,True
62,HBO2,b3lyp-g,1.0,1e-06,9.999999999999999e-06,1e-06,1.0.1,200.0,1231.142481245,16.0,-176.0805289082873,True
63,H2BF,b3lyp-g,1.0,1e-06,9.999999999999999e-06,1e-06,1.0.1,200.0,838.139658178,14.0,-125.99645347760104,True
65,BeH2,b3lyp-g,1.0,1e-06,9.999999999999999e-06,1e-06,1.0.1,100.0,242.436631871,8.0,-15.926215314427843,True
67,BeF2,b3lyp-g,1.0,1e-06,9.999999999999999e-06,1e-06,1.0.1,200.0,3997.471739556,12.0,-214.72024411434793,True
68,BeO,b3lyp-g,1.0,1e-06,9.999999999999999e-06,1e-06,1.0.1,100.0,492.07912835,15.0,-89.95146318054645,True
69,Li2,b3lyp-g,1.0,1e-06,9.999999999999999e-06,1e-06,1.0.1,200.0,874.082308418,33.0,-15.019030427942896,True
70,LiH,b3lyp-g,1.0,1e-06,9.999999999999999e-06,1e-06,1.0.1,200.0,171.454827637,9.0,-8.08877488539431,True
71,LiF,b3lyp-g,1.0,1e-06,9.999999999999999e-06,1e-06,1.0.1,200.0,398.897366087,10.0,-107.48768569384454,True
1,H2,pbe0,1.0,1e-06,9.999999999999999e-06,1e-06,1.0.1,200.0,75.649004979,7.0,-1.1690617728511488,True
2,F2,pbe0,1.0,1e-06,9.999999999999999e-06,1e-06,1.0.1,200.0,1025.128537384,14.0,-199.41923300149713,True
3,HF,pbe0,1.0,1e-06,9.999999999999999e-06,1e-06,1.0.1,100.0,439.201689414,13.0,-100.40157914916142,True
4,O2,pbe0,3.0,1e-06,9.999999999999999e-06,1e-06,1.0.1,120.0,1512.146514408,14.0,-150.24452377588258,True
5,O3,pbe0,1.0,1e-06,9.999999999999999e-06,1e-06,1.0.1,200.0,2241.27900353,19.0,-225.28979945158244,True
6,OH*,pbe0,2.0,1e-06,9.999999999999999e-06,1e-06,1.0.1,120.0,741.849632469,11.0,-75.6928621926087,True
7,H2O,pbe0,1.0,1e-06,9.999999999999999e-06,1e-06,1.0.1,200.0,377.115645623,11.0,-76.38776374356661,True
8,H2O2,pbe0,1.0,1e-06,9.999999999999999e-06,1e-06,1.0.1,200.0,1551.502734909,20.0,-151.4657261966521,True
9,OF*,pbe0,2.0,1e-06,9.999999999999999e-06,1e-06,1.0.1,120.0,1804.508230163,17.0,-174.7914956569875,True
10,OF2,pbe0,1.0,1e-06,9.999999999999999e-06,1e-06,1.0.1,200.0,2893.919666504,26.0,-274.53336429454043,True
11,FO2,pbe0,2.0,1e-06,9.999999999999999e-06,1e-06,1.0.1,120.0,5761.928049383,27.0,-249.94131858566053,True
12,N2,pbe0,1.0,1e-06,9.999999999999999e-06,1e-06,1.0.1,200.0,566.060019822,11.0,-109.45296123212421,True
13,NH,pbe0,3.0,1e-06,9.999999999999999e-06,1e-06,1.0.1,120.0,849.961240619,9.0,-55.18388190493663,True
14,NH2,pbe0,2.0,1e-06,9.999999999999999e-06,1e-06,1.0.1,120.0,620.284217421,9.0,-55.84140212661652,True
15,NH3,pbe0,1.0,1e-06,9.999999999999999e-06,1e-06,1.0.1,200.0,413.48230175,12.0,-56.521209965421775,True
16,N2H2,pbe0,1.0,1e-06,9.999999999999999e-06,1e-06,1.0.1,200.0,925.325958466,14.0,-110.55955447294177,True
17,N2H4,pbe0,1.0,1e-06,9.999999999999999e-06,1e-06,1.0.1,200.0,1055.602723296,15.0,-111.79083814166121,True
18,NF,pbe0,3.0,1e-06,9.999999999999999e-06,1e-06,1.0.1,120.0,1314.182920205,13.0,-154.36130834773033,True
19,NF2,pbe0,2.0,1e-06,9.999999999999999e-06,1e-06,1.0.1,120.0,4330.629304528,18.0,-254.15182299962424,True
20,NF3,pbe0,1.0,1e-06,9.999999999999999e-06,1e-06,1.0.1,100.0,3959.634343474,21.0,-353.9273951744864,True
21,NO*,pbe0,2.0,1e-06,9.999999999999999e-06,1e-06,1.0.1,120.0,1962.262283392,21.0,-129.81440748581687,True
22,NO2,pbe0,2.0,1e-06,9.999999999999999e-06,1e-06,1.0.1,120.0,2704.670801575,14.0,-204.96608861527096,True
23,NO3,pbe0,2.0,1e-06,9.999999999999999e-06,1e-06,1.0.1,120.0,4971.460860793,16.0,-280.0260668851523,True
24,N2O,pbe0,1.0,1e-06,9.999999999999999e-06,1e-06,1.0.1,200.0,1575.720590576,17.0,-184.55628768489711,True
25,N2O3,pbe0,1.0,1e-06,9.999999999999999e-06,1e-06,1.0.1,200.0,2868.317088537,21.0,-334.79490109066614,True
26,NOF3,pbe0,1.0,1e-06,9.999999999999999e-06,1e-06,1.0.1,200.0,4438.493549731,24.0,-429.0676004388537,True
27,C2,pbe0,3.0,1e-06,9.999999999999999e-06,1e-06,1.0.1,120.0,1473.101824101,18.0,-75.84231155895526,True
28,CH*,pbe0,2.0,1e-06,9.999999999999999e-06,1e-06,1.0.1,120.0,533.852754238,10.0,-38.44105616802435,True
29,CH2,pbe0,3.0,1e-06,9.999999999999999e-06,1e-06,1.0.1,120.0,495.548778817,8.0,-39.11890496314886,True
30,CH3,pbe0,2.0,1e-06,9.999999999999999e-06,1e-06,1.0.1,120.0,508.116069681,7.0,-39.803144457894916,True
31,CH4,pbe0,1.0,1e-06,9.999999999999999e-06,1e-06,1.0.1,200.0,371.659742268,11.0,-40.47872481481029,True
32,C2H2,pbe0,1.0,1e-06,9.999999999999999e-06,1e-06,1.0.1,200.0,769.444310903,12.0,-77.26242470171182,True
33,C2H4,pbe0,1.0,1e-06,9.999999999999999e-06,1e-06,1.0.1,200.0,800.179132982,13.0,-78.51900834621964,True
34,CF*,pbe0,2.0,1e-06,9.999999999999999e-06,1e-06,1.0.1,120.0,1142.483471318,12.0,-137.70447528987245,True
35,CF2,pbe0,1.0,1e-06,9.999999999999999e-06,1e-06,1.0.1,200.0,3217.732192291,17.0,-237.5837378284824,True
36,CF3,pbe0,2.0,1e-06,9.999999999999999e-06,1e-06,1.0.1,120.0,3997.133771961,12.0,-337.4130860117245,True
37,CF4,pbe0,1.0,1e-06,9.999999999999999e-06,1e-06,1.0.1,200.0,3360.51199742,16.0,-437.29886961774054,True
38,CO,pbe0,1.0,1e-06,9.999999999999999e-06,1e-06,1.0.1,200.0,652.664420674,14.0,-113.23800355577907,True
39,CO2,pbe0,1.0,1e-06,9.999999999999999e-06,1e-06,1.0.1,200.0,1458.428017671,15.0,-188.47791837865026,True
40,C3O,pbe0,1.0,1e-06,9.999999999999999e-06,1e-06,1.0.1,200.0,1753.48849864,19.0,-189.25533600334933,True
41,CN,pbe0,2.0,1e-06,9.999999999999999e-06,1e-06,1.0.1,120.0,2046.638574164,23.0,-92.63921158302159,True
42,HCN,pbe0,1.0,1e-06,9.999999999999999e-06,1e-06,1.0.1,200.0,786.443699971,16.0,-93.35149778877658,True
43,HNC,pbe0,1.0,1e-06,9.999999999999999e-06,1e-06,1.0.1,200.0,834.350667237,15.0,-93.329751285755,True
44,CH3F,pbe0,1.0,1e-06,9.999999999999999e-06,1e-06,1.0.1,200.0,1002.560963779,15.0,-139.66428041187604,True
45,CH2F2,pbe0,1.0,1e-06,9.999999999999999e-06,1e-06,1.0.1,200.0,1548.587980381,16.0,-238.87017941142946,True
46,CHF3,pbe0,1.0,1e-06,9.999999999999999e-06,1e-06,1.0.1,200.0,2352.700358242,16.0,-338.08563014236114,True
47,COF2,pbe0,1.0,1e-06,9.999999999999999e-06,1e-06,1.0.1,100.0,5846.499668625,28.0,-312.3564636916864,True
48,B2,pbe0,3.0,1e-06,9.999999999999999e-06,1e-06,1.0.1,120.0,1057.080175388,14.0,-49.34453000438055,True
49,BH,pbe0,1.0,1e-06,9.999999999999999e-06,1e-06,1.0.1,200.0,249.582245342,10.0,-25.24956312750252,True
50,BH2,pbe0,2.0,1e-06,9.999999999999999e-06,1e-06,1.0.1,120.0,397.928923275,7.0,-25.896939356283426,True
51,BH3,pbe0,1.0,1e-06,9.999999999999999e-06,1e-06,1.0.1,100.0,367.913432938,11.0,-26.568843086795624,True
52,BH4,pbe0,2.0,1e-06,9.999999999999999e-06,1e-06,1.0.1,120.0,500.225440822,7.0,-27.109734165875487,True
53,B2H4,pbe0,1.0,1e-06,9.999999999999999e-06,1e-06,1.0.1,200.0,714.573974782,13.0,-51.973714010703105,True
54,BF,pbe0,1.0,1e-06,9.999999999999999e-06,1e-06,1.0.1,100.0,648.336217057,13.0,-124.58837515626082,True
55,BF2,pbe0,2.0,1e-06,9.999999999999999e-06,1e-06,1.0.1,120.0,2518.484817512,14.0,-224.45621751404968,True
56,BF3,pbe0,1.0,1e-06,9.999999999999999e-06,1e-06,1.0.1,200.0,43810.156076569,14.0,-324.4095100544381,True
57,B2F4,pbe0,1.0,1e-06,9.999999999999999e-06,1e-06,1.0.1,100.0,5904.725562967,14.0,-449.07981795600597,True
58,B2O2,pbe0,1.0,1e-06,9.999999999999999e-06,1e-06,1.0.1,100.0,2162.338598569,15.0,-200.0933925287402,True
59,BO2*,pbe0,2.0,1e-06,9.999999999999999e-06,1e-06,1.0.1,120.0,4067.693711355,23.0,-175.18858192808273,True
60,BO,pbe0,2.0,1e-06,9.999999999999999e-06,1e-06,1.0.1,120.0,1061.657196766,12.0,-99.95482015753488,True
61,BN,pbe0,3.0,1e-06,9.999999999999999e-06,1e-06,1.0.1,120.0,1713.231173014,17.0,-79.3443113386681,True
62,HBO2,pbe0,1.0,1e-06,9.999999999999999e-06,1e-06,1.0.1,200.0,1048.485691679,16.0,-175.87508417116683,True
63,H2BF,pbe0,1.0,1e-06,9.999999999999999e-06,1e-06,1.0.1,200.0,941.594326297,15.0,-125.84798195525418,True
64,BeH,pbe0,2.0,1e-06,9.999999999999999e-06,1e-06,1.0.1,120.0,322.74510313,6.0,-15.227094336300329,True
65,BeH2,pbe0,1.0,1e-06,9.999999999999999e-06,1e-06,1.0.1,200.0,234.691650765,8.0,-15.876025527701461,True
66,BeF,pbe0,2.0,1e-06,9.999999999999999e-06,1e-06,1.0.1,120.0,869.255144558,10.0,-114.54434940496876,True
67,BeF2,pbe0,1.0,1e-06,9.999999999999999e-06,1e-06,1.0.1,200.0,1030.784157527,11.0,-214.48763980796357,True
68,BeO,pbe0,1.0,1e-06,9.999999999999999e-06,1e-06,1.0.1,200.0,1653.215914969,15.0,-89.82927898366356,True
69,Li2,pbe0,1.0,1e-06,9.999999999999999e-06,1e-06,1.0.1,200.0,672.025178895,25.0,-14.964989543016406,True
70,LiH,pbe0,1.0,1e-06,9.999999999999999e-06,1e-06,1.0.1,200.0,163.96746521,9.0,-8.052705594727112,True
71,LiF,pbe0,1.0,1e-06,9.999999999999999e-06,1e-06,1.0.1,200.0,609.373723291,13.0,-107.35940641341952,True
72,LiO*,pbe0,2.0,1e-06,9.999999999999999e-06,1e-06,1.0.1,120.0,586.909896073,8.0,-82.6198416292417,True
73,LiN,pbe0,3.0,1e-06,9.999999999999999e-06,1e-06,1.0.1,120.0,618.555684856,9.0,-62.02162580904623,True
74,LiC,pbe0,4.0,1e-06,9.999999999999999e-06,1e-06,1.0.1,120.0,648.433062183,7.0,-45.37410131632418,True
75,LiBe,pbe0,2.0,1e-07,9.999999999999999e-06,1e-06,1.0.1,180.0,2124.579329656,15.0,-22.122801052498225,True
